Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Value_FDR	FDR
ERCC3	1	0.8723536737235368	10.0	1.0	1.0
ERCC4	4	0.5788054248385894	10.0	1.0	1.0
ERCC5	3	0.9831532694880097	-2.198850227469104	1.0	1.0
ERF	6	0.9295193647987494	-1.1957509888102174	1.0	1.0
ERG	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
ERRFI1	3	0.6636803261918875	10.0	1.0	1.0
ESR1	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
ETAA1	2	0.760931553403708	10.0	1.0	1.0
ETV1	3	0.6636803261918875	10.0	1.0	1.0
ETV6	10	0.25417788940537717	10.0	1.0	1.0
EZH1	2	0.9925629854029163	-2.784844329979577	1.0	1.0
EZH2	4	0.5788054248385894	10.0	1.0	1.0
FAM175A	2	0.760931553403708	10.0	1.0	1.0
FAM46C	1	0.8723536737235368	10.0	1.0	1.0
FAM58A	2	0.760931553403708	10.0	1.0	1.0
FANCA	8	0.3345254076364267	10.0	1.0	1.0
FAT1	13	0.9935016393178938	-1.6866900146146762	1.0	1.0
FBXW7	17	0.09690648506437748	10.0	1.0	1.0
FGF3	4	0.8750728707609635	-0.7756909634379676	1.0	1.0
FGF4	2	0.760931553403708	10.0	1.0	1.0
FGFR1	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
FGFR2	4	0.5788054248385894	10.0	1.0	1.0
FGFR3	3	0.918305030251782	-1.1917608026827846	1.0	1.0
FGFR4	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
FH	7	0.9039303568048127	-0.9723240066256429	1.0	1.0
FLCN	2	0.760931553403708	10.0	1.0	1.0
FLT1	17	0.5551696862359217	0.31817053079879104	1.0	1.0
FLT3	8	0.8751916507162651	-0.7786436254160768	1.0	1.0
FLT4	19	0.8399447734160788	-0.5335626957657443	1.0	1.0
FOXA1	2	0.760931553403708	10.0	1.0	1.0
FOXL2	2	0.760931553403708	10.0	1.0	1.0
FOXO1	3	0.9831532694880097	-2.198850227469104	1.0	1.0
FOXP1	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
FUBP1	5	0.5047385633579959	10.0	1.0	1.0
FYN	1	0.8723536737235368	10.0	1.0	1.0
GAB2	1	0.8723536737235368	10.0	1.0	1.0
GATA1	6	0.4401093281997268	10.0	1.0	1.0
GATA2	6	0.4401093281997268	10.0	1.0	1.0
GATA3	4	0.9694491339842056	-1.782780388224287	1.0	1.0
GLI1	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
GNA11	2	0.760931553403708	10.0	1.0	1.0
GNAQ	0	1.0	-10.0	1.0	1.0
GNAS	33	0.9998521079920751	-1.710493382805015	1.0	1.0
GNB1	2	0.9925629854029163	-2.784844329979577	1.0	1.0
GPS2	6	0.7784433742532664	-0.1886615640238981	1.0	1.0
GRIN2A	15	0.37452576216185224	1.1426043954428005	1.0	1.0
GSK3B	4	0.5788054248385894	10.0	1.0	1.0
H3F3A	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
H3F3C	1	0.8723536737235368	10.0	1.0	1.0
HGF	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
HIST1H1C	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
HIST1H2BD	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
HIST1H3B	3	0.9831532694880097	-2.198850227469104	1.0	1.0
HIST1H3C	3	0.6636803261918875	10.0	1.0	1.0
HIST1H3D	1	0.8723536737235368	10.0	1.0	1.0
HIST1H3E	3	0.918305030251782	-1.1917608026827846	1.0	1.0
HIST1H3F	4	0.5788054248385894	10.0	1.0	1.0
HIST1H3G	0	1.0	-10.0	1.0	1.0
HIST1H3H	1	0.9979466871513736	-3.7858751946471525	1.0	1.0
HIST1H3I	3	0.6636803261918875	10.0	1.0	1.0
HIST3H3	2	0.760931553403708	10.0	1.0	1.0
HLA-A	4	0.9986914258467027	-2.797064614230534	1.0	1.0
HLA-B	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
HNF1A	2	0.9988361293461874	-3.3769312651341146	1.0	1.0
HRAS	0	1.0	-10.0	1.0	1.0
ICOSLG	3	0.6636803261918875	10.0	1.0	1.0
