Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
RRAS	2	0.9874298538377348	-1.8375540329395352	1.0
RRAS2	4	0.6178290286863608	-0.024267442607078984	1.0
RTEL1	6	0.7633346483013708	-0.34803019743294344	1.0
RTEL1-TNFRSF6B	7	0.79079795822139	-0.38929291660099286	1.0
RUNX1	10	0.8746213159777562	-0.5146213220484954	1.0
RXRA	8	0.23325171634753192	0.6573133449458403	1.0
RYBP	4	0.358798813978427	0.6555940369019329	1.0
SCG5	3	0.11433778364360683	2.5636938839675047	1.0
SDHA	15	0.6926320811621679	-0.1638002674581623	1.0
SDHAF2	3	0.3269306241473137	0.9775405494677264	1.0
SDHB	8	0.060939597206538736	1.396666519368836	0.9750335553046198
SDHC	3	0.7098570927918999	-0.2472364923139265	1.0
SDHD	5	0.29818460365677335	0.7150658027759517	1.0
SERPINB3	4	0.4509516121669638	0.39196335288610706	1.0
SERPINB4	3	0.8677883303649665	-0.763600720669673	1.0
SESN1	1	0.9928612553906557	-2.489008198577177	1.0
SESN2	6	0.6012300726110953	-0.024307333447153728	1.0
SESN3	4	0.7487824961657498	-0.34738982153688847	1.0
SETD2	65	0.48943595601168854	0.022054081366700964	1.0
SETD8	5	0.1503697474970409	1.3012206135161195	1.0
SETDB1	4	0.876785000145588	-0.7276947266136691	1.0
SF3B1	42	0.0023681234547666408	0.9322800115476833	0.08660565777432286
SH2B3	10	0.17207408866370047	0.7173691058545709	1.0
SH2D1A	1	0.9928612553906557	-2.489008198577177	1.0
SHOC2	9	0.20003977176322654	0.6903155008673847	1.0
SHQ1	13	0.34643842627339466	0.2866780436232688	1.0
SLFN11	4	0.6178290286863608	-0.024267442607078984	1.0
SLX4	23	0.43260447411687153	0.10901643730656674	1.0
SMAD2	12	0.5348108663598248	0.037573495382374256	1.0
SMAD3	8	0.4749573395833392	0.169494979654989	1.0
SMAD4	31	0.8768872316023703	-0.32712138575569877	1.0
SMARCA2	11	0.025878932588283363	1.4434048065841503	0.5096159032769647
SMARCA4	133	0.0015060903870819532	0.524755316470649	0.06425985651549666
SMARCB1	5	0.9299369890876612	-0.8770713254506326	1.0
SMARCD1	3	0.9916542442093306	-1.6949866857729552	1.0
SMARCE1	0	1.0	-10.0	1.0
SMO	38	0.013939029772981736	0.7500253724411058	0.3258225512634313
SMYD3	7	0.856943110902806	-0.5424952578631356	1.0
SOCS1	4	0.6178290286863608	-0.024267442607078984	1.0
SOS1	11	0.9551585892657062	-0.7433308141674124	1.0
SOX17	30	0.12940601784945047	0.43238995506547895	1.0
SOX2	5	0.9966692242063288	-1.5717355528216035	1.0
SOX9	12	0.939873734863701	-0.6567512286303917	1.0
SPEN	23	0.9973683102167967	-0.8806401418598923	1.0
SPOP	6	0.9340721887852907	-0.8370532750093236	1.0
SPRED1	8	0.8139630981058251	-0.4196622759575079	1.0
SPRTN	2	0.4140518758233741	0.9769636429668891	1.0
SRC	3	0.9916542442093306	-1.6949866857729552	1.0
SRSF2	5	0.779564462258221	-0.4045922767238244	1.0
STAG2	45	0.014000187749600563	0.680241536711536	0.3258225512634313
STAT3	7	0.9509562075093714	-0.8674258409120212	1.0
STAT5A	10	0.5346224766766714	0.05021282009246676	1.0
STAT5B	7	0.8830068339988701	-0.6134845837007521	1.0
STK11	305	8.703996475999993e-32	1.6013382112169738	4.456446195711996e-29
STK19	1	0.9952754276625486	-2.6151368412003064	1.0
STK40	6	0.2503200419615114	0.7562865742497706	1.0
SUFU	7	0.10863454911835142	1.2028442116255913	1.0
SUZ12	6	0.9753278788334853	-1.0909945322205927	1.0
SYK	8	0.4749573395833392	0.169494979654989	1.0
TAP1	4	0.9759880822825767	-1.2787757866401708	1.0
TAP2	5	0.967625989586864	-1.101262992550392	1.0
TBX3	51	0.3364362139387843	0.1298196577211494	1.0
TCEB1	0	1.0	-10.0	1.0
TCF3	17	0.10299311538929941	0.678439085739179	1.0
TCF7L2	7	0.856943110902806	-0.5424952578631356	1.0
TEK	16	0.6156120607576847	-0.06950589787407685	1.0
TERT	23	0.8741130065307282	-0.3663663804979014	1.0
TET1	38	0.7775806188294752	-0.1919655110914603	1.0
TET2	28	0.5397313198643046	0.0018491212012420129	1.0
TGFBR1	13	0.8721460935865993	-0.458713828386012	1.0
TGFBR2	29	0.016642112188322587	0.8489659999063689	0.35027309638169646
TMEM127	3	0.900244466964753	-0.9017017573877217	1.0
TMPRSS2	10	0.4813989208312912	0.1288148313921601	1.0
TNFAIP3	14	0.15403682523469564	0.6189679364695766	1.0
TNFRSF14	4	0.8422537370056111	-0.6116195008780665	1.0
TOP1	6	0.9340721887852907	-0.8370532750093236	1.0
TP53	464	1.0	-1.5641006726431	1.0
TP53BP1	21	0.31774741708715337	0.24265532522895375	1.0
TP63	27	0.6314639714517782	-0.07841912855398916	1.0
TRAF2	7	0.9611065034793955	-0.9246106174808351	1.0
TRAF7	18	0.22749231023666208	0.3959128441999242	1.0
TRIP13	1	0.7087788422809944	-0.0242078512435549	1.0
TSC1	15	0.8375834267486182	-0.3703524846596228	1.0
TSC2	21	0.9496375406100817	-0.5501226880759517	1.0
TSHR	27	0.13242041602768434	0.45384941909636334	1.0
U2AF1	51	1.5917805790926914e-07	1.690015703332462	1.35831942749243e-05
UPF1	9	0.9208513289162923	-0.6678035696588106	1.0
USP8	1	0.872139638503992	-1.025399176695965	1.0
