Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Value_FDR	FDR
NOTCH4	57	0.3576584794966829	0.10770363368796408	1.0	1.0
NPM1	4	0.7508694274480395	-0.3527763680839475	1.0	1.0
NRAS	7	0.993478290389574	-1.27821922480136	1.0	1.0
NSD1	35	0.32295582947765283	0.17364483109343998	1.0	1.0
NTHL1	2	0.5481800434440033	0.38603465301013773	1.0	1.0
NTRK1	29	0.739741932953913	-0.1759663367957655	1.0	1.0
NTRK2	24	0.4410053484617665	0.09782064738073903	1.0	1.0
NTRK3	76	0.09292640968306597	0.3046667027890343	1.0	1.0
NUF2	20	0.017592575797667324	1.0566509399723998	0.3602959523362268	0.3602959523362268
NUP93	13	0.6273551429665155	-0.08492207801629278	1.0	1.0
PAK1	10	0.9292988655888996	-0.6687033531340255	1.0	1.0
PAK7	54	0.08278601703486894	0.38257634027297044	1.0	1.0
PALB2	19	0.5792711607516957	-0.030019706510026237	1.0	1.0
PARK2	32	0.6053150650466231	-0.053329425081067305	1.0	1.0
PARP1	19	0.42555756332946015	0.13286966380167797	1.0	1.0
PAX5	17	0.41778653031086443	0.15302305989346335	1.0	1.0
PBRM1	29	0.7843307402154418	-0.22158775953822138	1.0	1.0
PDCD1	18	0.23114961173345547	0.39048803924203285	1.0	1.0
PDCD1LG2	4	0.4532243346481593	0.3865857300235061	1.0	1.0
PDGFRA	56	0.1357482967787325	0.29823860216270365	1.0	1.0
PDGFRB	34	0.375406875527711	0.13062090477337515	1.0	1.0
PDPK1	1	0.9632141432911763	-1.839922784514035	1.0	1.0
PGBD5	2	0.9294028692759131	-1.2025196214522726	1.0	1.0
PGR	34	0.4623652018482204	0.05951924267248027	1.0	1.0
PHF6	2	0.7452141038938749	-0.3521272057692935	1.0	1.0
PHOX2B	18	0.07283170755984489	0.7566769207939514	1.0	1.0
PIK3C2G	45	0.6025563876840998	-0.04724566378703134	1.0	1.0
PIK3C3	16	0.8112618398397927	-0.3195894836335421	1.0	1.0
PIK3CA	66	0.7480859308076372	-0.1320952487742672	1.0	1.0
PIK3CB	9	0.9829019273662435	-0.9993939529249718	1.0	1.0
PIK3CD	10	0.4851595794841302	0.12341034833188701	1.0	1.0
PIK3CG	66	0.2074228429637724	0.20492500702876307	1.0	1.0
PIK3R1	12	0.8103159907802435	-0.3553972521795376	1.0	1.0
PIK3R2	12	0.7476167150952815	-0.25465278505904615	1.0	1.0
PIK3R3	1	0.9929683484962708	-2.4943969806747943	1.0	1.0
PIM1	5	0.539301181504832	0.12292867454936737	1.0	1.0
PLCG2	24	0.6413364370952183	-0.09025785996290367	1.0	1.0
PLK2	11	0.5874960341067512	-0.029821132875227554	1.0	1.0
PMAIP1	1	0.8729404529307375	-1.0307723487948166	1.0	1.0
PMS1	14	0.7967142944871818	-0.3136326319488333	1.0	1.0
PMS2	10	0.5895681603997086	-0.029796495738601055	1.0	1.0
PNRC1	3	0.926251609782338	-1.0332214195154168	1.0	1.0
POLD1	22	0.8280711931892661	-0.3040680716463839	1.0	1.0
POLE	60	0.006876217978001487	0.6552685986071913	0.18529597919667165	0.18529597919667165
POT1	15	0.2025008723142849	0.49008469554696854	1.0	1.0
PPARG	12	0.24787533128835673	0.471869616776848	1.0	1.0
PPM1D	13	0.11289404861047406	0.7703033783127415	1.0	1.0
PPP2R1A	16	0.28833884337211496	0.3304287722231748	1.0	1.0
PPP4R2	1	0.9159328847464348	-1.3532986999797376	1.0	1.0
PPP6C	5	0.22230451311118754	0.9733210902323468	1.0	1.0
PRDM1	15	0.13691062144461813	0.6356788579077336	1.0	1.0
PRDM14	25	0.08670881272509245	0.5796205672814633	1.0	1.0
PREX2	50	0.5324939002806022	-0.00042316167380012883	1.0	1.0
PRKAR1A	1	0.9991140686587393	-3.0379678501990206	1.0	1.0
PRKCI	9	0.3659964005097625	0.3352026723976905	1.0	1.0
PRKD1	25	0.5774087571906601	-0.03017038098529043	1.0	1.0
PTCH1	23	0.7562274422383748	-0.21065477406850378	1.0	1.0
PTEN	16	0.9999999569942967	-1.78905742591222	1.0	1.0
PTP4A1	3	0.6342053980316069	-0.029625169109278336	1.0	1.0
PTPN11	3	0.998493961461035	-2.0404409260284972	1.0	1.0
PTPRD	141	0.0004681150320921111	0.5726294072378506	0.026630544047906764	0.026630544047906764
PTPRS	25	0.8539508084639384	-0.32377454261309485	1.0	1.0
PTPRT	99	0.45401162096521863	0.03253396414839251	1.0	1.0
RAB35	2	0.8125891160699903	-0.6157601160882896	1.0	1.0
RAC1	5	0.3814788903935953	0.4866970056980495	1.0	1.0
RAC2	4	0.26788827105263485	0.9727449915274231	1.0	1.0
RAD21	9	0.8362965965025443	-0.44842366777339066	1.0	1.0
RAD50	20	0.043139311674619873	0.8433400780730568	0.7616319854277716	0.7616319854277716
RAD51	4	0.10452776765435531	1.9739407603823598	1.0	1.0
RAD51B	4	0.9057885210082663	-0.8406036867246317	1.0	1.0
RAD51C	5	0.6754141498175381	-0.16777719046270997	1.0	1.0
RAD51D	6	0.6041356274711165	-0.029698352951719624	1.0	1.0
RAD52	2	0.9497083419893368	-1.355122214195743	1.0	1.0
RAD54L	9	0.5920885178107635	-0.029771899278428212	1.0	1.0
RAF1	7	0.9065354133293005	-0.6866125233269726	1.0	1.0
RARA	7	0.6554824764688032	-0.12985924901127943	1.0	1.0
RASA1	16	0.9999976553539051	-1.5738930920296685	1.0	1.0
RB1	40	0.9999778663413791	-0.9915596371993471	1.0	1.0
RBM10	201	2.878691856728126e-12	1.0708276460664543	4.912967435482668e-10	4.912967435482668e-10
RECQL	7	0.6554824764688032	-0.12985924901127943	1.0	1.0
RECQL4	20	0.6480479464766735	-0.10164894337000148	1.0	1.0
REL	7	0.6554824764688032	-0.12985924901127943	1.0	1.0
REST	2	0.9643622677568767	-1.4932254864643504	1.0	1.0
RET	41	0.22403650035752962	0.24813733601563479	1.0	1.0
RFWD2	16	0.8562783124525859	-0.3929536592261396	1.0	1.0
RHEB	2	0.8125891160699903	-0.6157601160882896	1.0	1.0
RHOA	4	0.4532243346481593	0.3865857300235061	1.0	1.0
RICTOR	20	0.8152023715320955	-0.2979448753253543	1.0	1.0
RIT1	1	0.9986589214321666	-2.9442574480730035	1.0	1.0
RNF43	10	0.9524433472190516	-0.7601114768082067	1.0	1.0
ROS1	23	0.9996811026429684	-1.058396978757428	1.0	1.0
RPS6KA4	10	0.9897088152430081	-1.041889567726621	1.0	1.0
RPS6KB2	7	0.5382809932707404	0.07779287335559681	1.0	1.0
RPTOR	20	0.8152023715320955	-0.2979448753253543	1.0	1.0
RRAGC	2	0.9015026880879251	-1.0319953697247553	1.0	1.0
RRAS	2	0.9876398468856371	-1.8429495328364274	1.0	1.0
RRAS2	4	0.6201809738415351	-0.029649523612959538	1.0	1.0
RTEL1	6	0.7658026322110372	-0.35342794031985086	1.0	1.0
RTEL1-TNFRSF6B	7	0.7933008001473042	-0.39469739966126616	1.0	1.0
RUNX1	10	0.8768178708634545	-0.5200483944328232	1.0	1.0
RXRA	8	0.23561783756617796	0.6519267983987813	1.0	1.0
RYBP	4	0.3608564060333707	0.6502186403425021	1.0	1.0
SCG5	3	0.1150901318598005	2.5583273742176895	1.0	1.0
SDHA	15	0.6969159167358228	-0.16923870546599645	1.0	1.0
SDHAF2	3	0.3285835426275067	0.9721695999891491	1.0	1.0
SDHB	8	0.06177882609626837	1.3912888965062349	1.0	1.0
SDHC	3	0.7117687109102275	-0.25261634332457944	1.0	1.0
SDHD	5	0.30029309807104965	0.7096881799133506	1.0	1.0
SERPINB3	4	0.4532243346481593	0.3865857300235061	1.0	1.0
SERPINB4	3	0.8691117502678671	-0.7689872672167319	1.0	1.0
SESN1	1	0.9929683484962708	-2.4943969806747943	1.0	1.0
SESN2	6	0.6642065715966012	-0.14577581795297465	1.0	1.0
SESN3	4	0.8017918433279304	-0.4908796403525547	1.0	1.0
SETD2	65	0.4994060823844765	0.016395213632827088	1.0	1.0
