Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality
CEBPA	36	13	23	0	0.4614	0.0098	0.4123
AR	36	23	13	0	0.4614	0.0026	0.4144
INHBA	35	21	14	0	0.48	0.0036	0.412
PTPRS	35	20	15	0	0.4898	0.0114	0.4252
POLE	35	34	1	0	0.0555	0.0068	0.4494
PARP1	35	28	7	0	0.32	0.0058	0.4378
FLT1	34	28	6	0	0.2907	0.0029	0.4343
TBX3	34	33	1	0	0.0571	0.0046	0.4454
SOX17	34	22	12	0	0.4567	0.0034	0.4197
PIK3CA	34	18	16	0	0.4983	0.0069	0.3969
NBN	34	15	19	0	0.4931	0.0034	0.3972
RAD21	34	14	20	0	0.4844	0.0063	0.3866
ATR	34	25	9	0	0.3893	0.0028	0.4343
NTRK2	33	33	0	0	0.0	0.011	0.4441
PTCH1	33	25	8	0	0.3673	0.0058	0.4305
GATA1	32	15	17	0	0.498	0.0015	0.4002
SLX4	32	22	10	0	0.4297	0.0027	0.4109
ARID1A	32	28	3	1	0.2246	0.006	0.4252
AKT2	32	12	20	0	0.4688	0.0024	0.4172
FGF4	32	11	20	1	0.4902	0.0022	0.3866
FGFR3	31	17	13	1	0.5224	0.0055	0.4141
CSF3R	31	31	0	0	0.0	0.0039	0.4382
WT1	30	23	7	0	0.3578	0.003	0.4305
CCND2	30	17	13	0	0.4911	0.0032	0.3944
NKX3-1	30	12	18	0	0.48	0.0037	0.4082
RB1	30	17	13	0	0.4911	0.0028	0.4123
BRCA2	30	21	9	0	0.42	0.003	0.4082
BRD4	30	21	8	1	0.4378	0.0035	0.419
CTCF	30	30	0	0	0.0	0.0112	0.4449
NCOA3	29	13	16	0	0.4946	0.0061	0.4035
PRDM14	29	13	16	0	0.4946	0.0015	0.385
CCNE1	29	11	18	0	0.4709	0.0097	0.4041
STK11	29	18	10	1	0.4946	0.0025	0.4045
NOTCH2	29	20	9	0	0.4281	0.0061	0.4289
DCUN1D1	29	3	26	0	0.1855	0.0026	0.4078
XPO1	29	20	9	0	0.4281	0.0026	0.4187
DOT1L	29	17	11	1	0.5113	0.0039	0.3918
BCL6	29	8	20	1	0.4471	0.0012	0.4102
ATRX	28	21	7	0	0.375	0.0039	0.4194
FGF19	28	10	18	0	0.4592	0.0021	0.3853
DICER1	28	26	2	0	0.1327	0.0037	0.4312
KMT2A	28	25	3	0	0.1913	0.0029	0.4293
DIS3	28	24	4	0	0.2449	0.0028	0.4252
H3F3C	28	15	13	0	0.4974	0.0021	0.4106
DNMT3A	28	23	5	0	0.2934	0.0035	0.4324
CCND1	27	7	20	0	0.3841	0.0034	0.3937
PDCD1	27	19	8	0	0.417	0.002	0.4162
NOTCH1	27	25	2	0	0.1372	0.0031	0.412
KDM5A	27	15	12	0	0.4938	0.0013	0.3912
SPRED1	27	18	9	0	0.4444	0.0015	0.4089
SMO	27	25	2	0	0.1372	0.0056	0.4271
SETD2	27	21	6	0	0.3457	0.0065	0.4035
MLH1	27	25	2	0	0.1372	0.0046	0.4176
CD79A	27	19	8	0	0.417	0.0023	0.4223
TSC2	26	15	11	0	0.4882	0.0009	0.3811
PARK2	26	22	4	0	0.2604	0.0026	0.4205
AXL	26	20	5	1	0.3698	0.0025	0.4072
SHQ1	26	20	6	0	0.355	0.0051	0.4158
MED12	26	16	9	1	0.5	0.0054	0.3934
PRKD1	26	15	11	0	0.4882	0.0052	0.419
FLT4	26	21	5	0	0.3107	0.0026	0.4219
MLL2	26	25	1	0	0.074	0.0026	0.4366
MUTYH	25	15	10	0	0.48	0.002	0.3995
GLI1	25	17	8	0	0.4352	0.0041	0.4078
PRKCI	25	12	13	0	0.4992	0.0008	0.4134
RASA1	25	21	3	1	0.2784	0.0061	0.426
POLD1	25	21	3	1	0.2784	0.0037	0.4165
SPEN	25	19	5	1	0.3808	0.0054	0.4155
ERCC4	25	19	6	0	0.3648	0.0016	0.4169
IKBKE	25	13	12	0	0.4992	0.0024	0.382
CYSLTR2	25	14	11	0	0.4928	0.0011	0.3989
RAC1	24	7	17	0	0.4132	0.0033	0.3767
FANCA	24	22	2	0	0.1528	0.0029	0.4162
IKZF1	24	12	12	0	0.5	0.0016	0.3931
PMS2	24	12	12	0	0.5	0.0063	0.3791
MITF	24	14	10	0	0.4861	0.0031	0.395
ERCC5	24	16	8	0	0.4444	0.0011	0.4078
TEK	23	10	13	0	0.4915	0.0018	0.3918
ETV6	23	13	10	0	0.4915	0.0018	0.3963
KMT2C	23	21	1	1	0.1626	0.0026	0.4162
ASXL1	23	16	7	0	0.4234	0.0021	0.3779
SDHC	23	5	18	0	0.3403	0.0026	0.3893
RECQL	23	10	13	0	0.4915	0.0013	0.39
CDKN2Ap14ARF	23	2	19	2	0.3025	0.0028	0.3753
FOXA1	23	7	16	0	0.4234	0.0036	0.3679
NFE2L2	22	12	9	1	0.5331	0.001	0.382
TET2	22	22	0	0	0.0	0.0029	0.413
RET	22	19	1	2	0.2438	0.0128	0.4078
ARID2	22	18	4	0	0.2975	0.0014	0.4197
NSD1	22	13	9	0	0.4835	0.0007	0.3979
INPP4A	22	18	4	0	0.2975	0.001	0.4176
PTEN	22	13	9	0	0.4835	0.0059	0.3918
PLCG2	22	16	6	0	0.3967	0.0026	0.4068
EIF1AX	22	11	11	0	0.5	0.0005	0.3764
NUF2	22	14	8	0	0.4628	0.001	0.4025
NFKBIA	22	7	15	0	0.4339	0.0053	0.3844
KNSTRN	21	13	8	0	0.4717	0.0009	0.3776
RIT1	21	4	17	0	0.3084	0.0015	0.3702
SOX9	21	17	4	0	0.3084	0.001	0.4187
ASXL2	21	15	6	0	0.4082	0.0016	0.3838
IRF4	21	17	4	0	0.3084	0.0011	0.4194
CBL	21	17	4	0	0.3084	0.0012	0.4144
PIK3CB	21	10	10	1	0.5442	0.001	0.3995
AXIN2	21	18	3	0	0.2449	0.0033	0.4095
MAPK1	21	10	11	0	0.4989	0.0018	0.3912
CIC	21	17	4	0	0.3084	0.0019	0.4018
MYOD1	21	21	0	0	0.0	0.0017	0.4219
GSK3B	20	16	4	0	0.32	0.0011	0.4025
ZRSR2	20	8	12	0	0.48	0.0005	0.366
GATA2	20	16	4	0	0.32	0.0016	0.4162
CRKL	20	6	14	0	0.42	0.0027	0.4015
DUSP4	20	5	15	0	0.375	0.0014	0.4018
CDKN2Ap16INK4A	20	0	18	2	0.18	0.0032	0.3817
INSR	19	8	11	0	0.4875	0.0016	0.3636
CDKN2B	19	0	19	0	0.0	0.0027	0.3674
NKX2-1	19	5	14	0	0.3878	0.0068	0.3647
MAP2K4	19	7	12	0	0.4654	0.0016	0.358
APC	19	14	5	0	0.3878	0.0009	0.3989
PRDM1	19	13	6	0	0.4321	0.0016	0.3969
TRAF7	19	10	9	0	0.4986	0.0007	0.3598
PPM1D	18	16	2	0	0.1975	0.0016	0.3934
PDCD1LG2	18	4	14	0	0.3457	0.0016	0.396
EZH2	18	12	5	1	0.4753	0.0013	0.4051
B2M	18	11	7	0	0.4753	0.0005	0.4038
IGF1R	18	14	4	0	0.3457	0.0025	0.389
FOXO1	18	10	8	0	0.4938	0.0005	0.3649
ERCC3	18	17	1	0	0.1049	0.0014	0.4187
YAP1	18	9	9	0	0.5	0.0014	0.3931
PMS1	18	17	1	0	0.1049	0.0011	0.4169
TCF3	18	10	8	0	0.4938	0.0016	0.3641
FUBP1	18	16	2	0	0.1975	0.0039	0.4005
TRAF2	18	17	1	0	0.1049	0.0012	0.3915
MAP2K2	17	7	10	0	0.4844	0.0011	0.363
MYC	17	3	14	0	0.2907	0.0048	0.3747
DNMT3B	17	11	6	0	0.4567	0.0014	0.3776
CRLF2	17	8	9	0	0.4983	0.0004	0.3719
LYN	17	6	11	0	0.4567	0.0003	0.3598
GATA3	17	12	5	0	0.4152	0.0012	0.366
KRAS	17	14	3	0	0.2907	0.0011	0.3841
BARD1	17	14	3	0	0.2907	0.0011	0.3976
RAD50	17	16	1	0	0.1107	0.0009	0.4085
CDK12	17	12	4	1	0.4429	0.0033	0.3869
ERBB3	17	13	4	0	0.3599	0.0016	0.3909
ANKRD11	17	14	3	0	0.2907	0.0009	0.3982
JUN	17	13	4	0	0.3599	0.0026	0.396
ETV1	17	7	10	0	0.4844	0.0011	0.351
PAX5	16	11	5	0	0.4297	0.0014	0.3915
MST1R	16	10	6	0	0.4688	0.0026	0.3744
MSH6	16	12	4	0	0.375	0.0015	0.3688
NPM1	16	8	8	0	0.5	0.0004	0.3817
MEN1	16	14	2	0	0.2188	0.0009	0.3956
ALK	16	12	3	1	0.3984	0.0045	0.3887
GREM1	16	8	8	0	0.5	0.0005	0.3756
MAP3K1	16	13	3	0	0.3047	0.0009	0.3866
RAD52	16	7	9	0	0.4922	0.0004	0.371
